user_id,cluster_id
8,9
17,9
53,9
99,6
114,13
242,16
243,19
244,2
254,26
272,9
300,9
383,23
384,9
387,9
388,2
408,9
424,5
444,9
446,16
476,9
486,2
487,23
503,5
505,7
507,3
566,9
567,9
595,12
619,9
625,9
626,9
638,20
643,7
651,6
709,5
712,9
714,16
728,9
735,7
741,9
746,16
776,9
805,27
819,2
834,9
843,7
850,9
853,16
876,9
882,20
899,9
900,27
901,23
914,9
929,16
989,9
1025,27
1063,9
1075,3
1083,7
1113,16
1116,9
1129,23
1131,12
1133,9
1155,5
1161,7
1167,7
1178,9
1184,9
1192,9
1211,20
1248,7
1254,5
1297,7
1343,7
1372,9
1409,23
1412,13
1424,18
1435,12
1436,9
1467,9
1485,9
1548,15
1558,9
1585,2
1596,7
1608,2
1652,20
1660,6
1674,5
1688,9
1706,7
1725,9
1733,28
1745,9
1790,6
1805,15
1812,9
1838,9
1848,24
1903,4
1928,21
2010,2
2012,0
2030,23
2033,26
2041,16
2046,9
2090,9
2103,23
2110,28
2132,6
2134,9
2136,9
2139,23
2179,20
2189,9
2197,7
2276,8
2281,9
2287,2
2288,6
2313,5
2326,9
2333,15
2337,27
2349,9
2358,7
2363,9
2375,0
2399,17
2411,9
2437,23
2439,2
2462,9
2559,27
2589,6
2630,9
2719,16
2731,9
2738,9
2760,9
2766,21
2790,9
2793,6
2799,10
2853,9
2855,7
2891,3
2907,0
2954,7
2977,15
2996,23
3017,7
3066,9
3088,9
3100,19
3106,7
3142,9
3145,0
3154,5
3167,4
3192,2
3266,16
3282,16
3326,9
3329,2
3331,23
3346,21
3350,18
3355,9
3363,12
3368,9
3371,5
3373,13
3374,7
3416,9
3418,28
3427,6
3437,9
3462,9
3471,9
3481,6
3508,9
3537,9
3538,9
3542,5
3556,20
3569,6
3578,5
3594,6
3640,13
3643,9
3669,12
3675,9
3693,7
3719,6
3728,9
3743,9
3757,9
3761,16
3775,16
3814,23
3817,4
3827,17
3840,23
3856,9
3881,9
3915,9
3917,5
3923,2
3954,9
3965,6
3977,2
4017,29
4049,9
4066,7
4090,19
4091,7
4092,13
4098,20
4114,16
4131,7
4138,9
4144,6
4149,6
4157,18
4164,9
4179,6
4197,23
4221,5
4223,6
4228,2
4285,9
4334,6
4365,5
4370,9
4385,0
4401,9
4420,9
4483,23
4547,9
4570,5
4571,5
4600,0
4622,5
4769,9
4781,9
4785,2
4795,21
4802,21
4809,26
4816,9
4838,9
4845,9
4864,6
4895,9
4896,28
4938,1
5037,22
5048,2
5091,7
5127,9
5158,9
5163,16
5204,9
5207,28
5208,9
5209,7
5225,9
5268,6
5285,9
5286,7
5287,6
5331,9
5350,9
5375,16
5385,4
5414,9
5416,16
5429,9
5439,27
5448,16
5452,16
5476,20
5483,16
5490,25
5499,23
5506,9
5539,3
5543,9
5555,16
5582,29
5585,9
5600,9
5609,7
5638,2
5639,9
5665,23
5669,9
5674,16
5694,9
5709,7
5722,20
5728,6
5730,9
5737,5
5741,7
5746,6
5769,9
5777,9
5790,9
5815,23
5834,9
5850,5
5899,2
5903,5
5920,9
5923,9
5932,7
5942,6
5956,6
5963,7
5975,9
5988,6
5998,6
6007,9
6011,9
6051,9
6073,22
6092,7
6102,23
6115,0
6120,9
6229,9
6238,23
6242,29
6249,9
6251,26
6280,7
6318,16
6323,0
6330,9
6333,2
6338,9
6345,0
6347,0
6366,9
6368,6
6398,9
6401,9
6431,26
6432,9
6450,9
6460,9
6492,7
6497,9
6501,2
6505,9
6509,9
6516,9
6532,4
6537,12
6543,3
6563,24
6564,7
6566,5
6575,29
6577,29
6582,9
6592,16
6604,9
6611,11
6642,9
6662,6
6671,9
6679,12
6689,7
6700,16
6731,9
6741,9
6769,23
6772,4
6781,23
6789,2
6840,7
6865,9
6866,0
6871,7
6884,4
6894,16
6900,5
6906,2
6958,7
6990,9
7033,27
7053,9
7056,6
7072,28
7079,7
7082,0
7105,3
7107,27
7125,24
7128,9
7134,15
7158,12
7181,9
7210,7
7245,9
7283,20
7286,4
7312,23
7318,6
7319,5
7326,9
7341,5
7346,24
7348,9
7352,2
7355,9
7371,10
7384,16
7394,9
7418,9
7426,7
7454,9
7482,28
7509,23
7528,16
7547,9
7565,9
7569,23
7620,22
7630,6
7637,9
7651,16
7809,28
7841,14
7860,12
7864,23
7886,9
7887,5
7890,23
7898,9
7908,9
7913,7
7915,20
7930,16
7954,9
7958,18
7962,23
7970,9
7980,6
8018,7
8019,0
8027,16
8034,9
8040,23
8065,9
8066,3
8067,8
8094,9
8095,16
8141,2
8167,16
8187,0
8188,18
8201,9
8234,19
8245,15
8250,16
8253,27
8255,13
8284,23
8290,29
8313,9
8314,7
8323,23
8344,9
8362,2
8419,9
8454,19
8487,2
8529,10
8568,9
8570,16
8584,9
8660,7
8672,23
8676,9
8680,7
8681,3
8687,7
8695,2
8734,20
8737,9
8739,9
8782,24
8801,21
8815,9
8839,16
8844,9
8864,5
8870,20
8872,2
8890,7
8935,10
8936,2
8937,2
8955,6
8961,5
8971,7
9029,9
9080,9
9094,16
9138,7
9139,6
9141,7
9143,9
9177,2
9183,9
9188,9
9224,6
9226,7
9227,0
9289,9
9295,9
9313,6
9341,9
9354,0
9357,16
9373,9
9381,6
9408,9
9414,23
9417,10
9440,9
9454,0
9504,9
9525,9
9568,0
9571,9
9574,0
9613,10
9660,10
9717,16
9718,6
9747,28
9806,7
9850,9
9856,28
9867,9
9893,9
9908,28
9974,16
10001,9
10030,6
10067,9
10118,24
10199,21
10205,9
10241,7
10314,19
10315,16
10334,6
10338,9
10351,16
10354,1
10433,9
10447,27
10502,9
10532,6
10546,9
10560,28
10570,9
10571,9
10590,16
10607,13
10619,19
10660,23
10668,6
10681,23
10697,28
10699,2
10716,9
10750,9
10813,9
10819,10
10829,7
10836,7
10863,9
10917,9
10924,9
10946,9
10949,0
10951,23
10959,2
10965,7
10985,23
11036,9
11037,9
11038,9
11070,9
11104,16
11120,23
11124,9
11179,5
11192,9
